export_priority_rank,fips,county,state_abbr,export_priority_score,preboom_classifier_score,breakout_probability_rank,breakout_probability_rank_pct,investable_residual_model_score,residual_model_score,residual_upside_rank,residual_upside_rank_pct,preboom_prior_momentum_rank_pct,emerging_market_depth_adequacy,wave3_net_support,wave3_support_score,wave3_brake_score,short_thesis,structural_summary,support_narrative,brake_narrative,next_diligence_check
15,24510,"Baltimore city, Maryland",MD,0.9224503025064822,0.6904100114560183,24,0.9900605012964564,0.06978659042838646,0.08627898055506208,31,0.9870354364736387,0.29261179520414776,0.5221202771354487,0.285614313956667,0.6832788517030612,0.3976645377463942,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 29.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.522).",Wave 3 support is strong; structural brakes are light. Supports: fragility/support balance is strong (0.769); scarcity/amenity balance is strong (0.696); optionality is moderate (0.666). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.769); scarcity/amenity balance is strong (0.696); optionality is moderate (0.666),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
16,42013,"Blair County, Pennsylvania",PA,0.9217372515125324,0.536002333664391,116,0.9503025064822818,0.07121975958131155,0.07984362491284387,30,0.9874675885911841,0.19248217757615035,0.7299763963326438,0.1902300265410224,0.5779918608460681,0.3877618343050457,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 19.2%, inside the not-hot gate. Market-depth adequacy is high (0.730).",Wave 3 support is moderate; structural brakes are light. Supports: optionality is moderate (0.642); fragility/support balance is moderate (0.610). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.642); fragility/support balance is moderate (0.610),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
17,54099,"Wayne County, West Virginia",WV,0.9210458081244599,0.4981843185140421,150,0.935609334485739,0.04194816604949601,0.04438435247415294,118,0.949438202247191,0.45366169799092676,0.8627789812819942,0.2104214455858495,0.6370179933405756,0.4265965477547261,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 45.4%, inside the not-hot gate. Market-depth adequacy is high (0.863).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.696); scarcity/amenity balance is strong (0.693); fragility/support balance is moderate (0.630). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.696); scarcity/amenity balance is strong (0.693); fragility/support balance is moderate (0.630),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
18,42065,"Jefferson County, Pennsylvania",PA,0.9205272255834054,0.4809176985368864,165,0.9291270527225584,0.056289584016789476,0.05681590641821181,67,0.9714779602420052,0.10661049902786779,0.9768408868835001,0.10344321825676,0.5331540187995332,0.4297108005427731,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 10.7%, inside the not-hot gate. Market-depth adequacy is high (0.977).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: constraint pressure is moderate (0.650).,Structural support: no major structural supports flagged,Structural brakes: constraint pressure is moderate (0.650),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
19,55043,"Grant County, Wisconsin",WI,0.9176534140017285,0.666838743306634,31,0.9870354364736387,0.02720804079775037,0.02745486537721025,206,0.9114088159031979,0.5521710952689566,0.977524513772997,0.0651473722051872,0.5507034820296949,0.4855561098245076,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 55.2%, inside the not-hot gate. Market-depth adequacy is high (0.978).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.608). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.608),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
20,36033,"Franklin County, New York",NY,0.9167891097666379,0.6128122142810378,52,0.9779602420051858,0.06217913682746574,0.0635534491292321,47,0.9801210025929127,0.49546338302009074,0.945938720848503,-0.0104118839109976,0.5802421044503026,0.5906539883613002,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 49.5%, inside the not-hot gate. Market-depth adequacy is high (0.946).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.817); site-thesis support is moderate (0.607). Brakes: constraint pressure is heavy (0.721); wetlands constraint is heavy (0.708); constraint complexity is moderate (0.566).,Structural support: scarcity/amenity balance is strong (0.817); site-thesis support is moderate (0.607),Structural brakes: constraint pressure is heavy (0.721); wetlands constraint is heavy (0.708); constraint complexity is moderate (0.566),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
21,30081,"Ravalli County, Montana",MT,0.9157087294727745,0.5713337141114866,80,0.9658599827139153,0.02391785298022391,0.024140787360168482,241,0.8962834917891098,0.40343486714193133,0.9769130997449975,0.1245874637050692,0.5878107909334096,0.4632233272283403,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 40.3%, inside the not-hot gate. Market-depth adequacy is high (0.977).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.682); site-thesis support is moderate (0.625); optionality is moderate (0.619). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.682); site-thesis support is moderate (0.625); optionality is moderate (0.619),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
22,42061,"Huntingdon County, Pennsylvania",PA,0.9150388936905791,0.5749719063588555,79,0.9662921348314607,0.013506016447419129,0.013695540903391945,337,0.8547968885047537,0.2825664290343487,0.9654039848973988,0.2038669092234106,0.637944809971503,0.4340779007480924,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 28.3%, inside the not-hot gate. Market-depth adequacy is high (0.965).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.752); fragility/support balance is moderate (0.667); optionality is moderate (0.638). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.752); fragility/support balance is moderate (0.667); optionality is moderate (0.638),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
23,30057,"Madison County, Montana",MT,0.9137856525496975,0.7363788594560627,11,0.9956784788245462,0.07257671652648563,0.09227886249883957,29,0.9878997407087294,0.3486714193130266,0.46623350573372946,0.2360052381177041,0.6481501342139803,0.4121448960962761,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 34.9%, inside the not-hot gate. Market-depth adequacy is moderate (0.466).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.681); fragility/support balance is strong (0.675); scarcity/amenity balance is strong (0.673). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.681); fragility/support balance is strong (0.675); scarcity/amenity balance is strong (0.673),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
24,36005,"Bronx County, New York",NY,0.9137640449438202,0.6565326175685305,37,0.9844425237683665,0.08324619715377789,0.10289101855246803,12,0.9952463267070009,0.03240440699935191,0.5226789064034656,0.1960292613429747,0.6873812641200033,0.4913520027770285,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 3.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.523).",Wave 3 support is strong; structural brakes are moderate. Supports: site-thesis support is strong (0.736); scarcity/amenity balance is strong (0.735); fragility/support balance is strong (0.722). Brakes: wetlands constraint is moderate (0.604).,Structural support: site-thesis support is strong (0.736); scarcity/amenity balance is strong (0.735); fragility/support balance is strong (0.722),Structural brakes: wetlands constraint is moderate (0.604),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
25,16085,"Valley County, Idaho",ID,0.912294727744166,0.6124983441152013,53,0.9775280898876404,0.049422177009275696,0.0566903314288974,84,0.9641313742437337,0.2018794556059624,0.6794799820169676,0.1553127567527407,0.6489700417282132,0.4936572849754724,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 20.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.679).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.810); site-thesis support is moderate (0.664); optionality is moderate (0.652). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.810); site-thesis support is moderate (0.664); optionality is moderate (0.652),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
26,21195,"Pike County, Kentucky",KY,0.9117977528089887,0.7097795854113551,18,0.9926534140017286,0.023317757632308637,0.023654796564876443,248,0.8932584269662921,0.25826312378483474,0.9643794302306267,0.0648047601365439,0.4683438530993513,0.4035390929628074,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 25.8%, inside the not-hot gate. Market-depth adequacy is high (0.964).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: no major structural brakes flagged.,Structural support: no major structural supports flagged,Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
27,05093,"Mississippi County, Arkansas",AR,0.9106525496974935,0.6961402727020423,23,0.9904926534140017,0.012182049847828669,0.012498188014241882,350,0.8491789109766638,0.03661697990926766,0.9367631999828756,0.1506809476102385,0.5928563723410032,0.4421754247307646,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 3.7%, inside the not-hot gate. Market-depth adequacy is high (0.937).",Wave 3 support is moderate; structural brakes are moderate. Supports: fragility/support balance is strong (0.734). Brakes: wetlands constraint is moderate (0.652); constraint pressure is moderate (0.558).,Structural support: fragility/support balance is strong (0.734),Structural brakes: wetlands constraint is moderate (0.652); constraint pressure is moderate (0.558),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
28,35006,"Cibola County, New Mexico",NM,0.91028522039758,0.6221271175240561,47,0.9801210025929127,0.046460620074039935,0.054043659886579255,99,0.9576490924805532,0.34996759559300067,0.649216955862457,0.1704649993789556,0.5924108120071936,0.421945812628238,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 35.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.649).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.649); scarcity/amenity balance is moderate (0.647); site-thesis support is moderate (0.607). Brakes: fragility pressure is moderate (0.633).,Structural support: optionality is moderate (0.649); scarcity/amenity balance is moderate (0.647); site-thesis support is moderate (0.607),Structural brakes: fragility pressure is moderate (0.633),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
29,54049,"Marion County, West Virginia",WV,0.9085133967156439,0.40641439486119324,305,0.8686257562662058,0.0571353022559442,0.058679225986459915,65,0.9723422644770959,0.3833441348023331,0.9342218773100395,0.207997791296489,0.5511780541723161,0.3431802628758271,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 38.3%, inside the not-hot gate. Market-depth adequacy is high (0.934).",Wave 3 support is moderate; structural brakes are light. Supports: fragility/support balance is moderate (0.665); optionality is moderate (0.634). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is moderate (0.665); optionality is moderate (0.634),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
30,21019,"Boyd County, Kentucky",KY,0.906676750216076,0.658006501164401,36,0.9848746758859118,0.028598006918078064,0.02905318619283312,197,0.9152981849611063,0.11535968891769281,0.96083224127864,0.0240887719446271,0.4660342417426275,0.4419454697980003,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 11.5%, inside the not-hot gate. Market-depth adequacy is high (0.961).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: no major structural brakes flagged.,Structural support: no major structural supports flagged,Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
31,56033,"Sheridan County, Wyoming",WY,0.9065254969749352,0.5194391064301234,131,0.9438202247191011,0.03182790872772104,0.033078885659833565,185,0.9204840103716508,0.42449773169151006,0.905455027643847,0.1343970678882518,0.5833393499427897,0.4489422820545378,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 42.4%, inside the not-hot gate. Market-depth adequacy is high (0.905).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.672); site-thesis support is moderate (0.624). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.672); site-thesis support is moderate (0.624),Structural brakes: no major structural brakes flagged,"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
32,21199,"Pulaski County, Kentucky",KY,0.9057908383751081,0.5080203613003793,141,0.9394987035436474,0.0324837057617271,0.034224084568635474,179,0.9230769230769231,0.16202203499675957,0.8728688561838598,0.1580229140550229,0.631757858411962,0.4737349443569391,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 16.2%, inside the not-hot gate. Market-depth adequacy is high (0.873).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.744); optionality is moderate (0.665); fragility/support balance is moderate (0.640). Brakes: constraint pressure is moderate (0.599).,Structural support: scarcity/amenity balance is strong (0.744); optionality is moderate (0.665); fragility/support balance is moderate (0.640),Structural brakes: constraint pressure is moderate (0.599),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
33,29029,"Camden County, Missouri",MO,0.9054235090751944,0.5591235245458869,91,0.9611063094209161,0.06176221288510609,0.06457200811805075,50,0.9788245462402766,0.17368762151652625,0.8912146565192852,0.0066626553790813,0.5403244723471463,0.5336618169680649,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 17.4%, inside the not-hot gate. Market-depth adequacy is high (0.891).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.617). Brakes: wetlands constraint is moderate (0.616).,Structural support: optionality is moderate (0.617),Structural brakes: wetlands constraint is moderate (0.616),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
34,02020,"Anchorage Municipality, Alaska",AK,0.8961538461538461,0.4775466628325494,174,0.92523768366465,0.06213842973851086,0.07419278945212948,48,0.9796888504753674,0.35029163966299415,0.5938163330077948,0.2361525037791313,0.7163050473503831,0.4801525435712517,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 35.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.594).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.906); fragility/support balance is strong (0.712); optionality is strong (0.701). Brakes: fragility pressure is moderate (0.618).,Structural support: scarcity/amenity balance is strong (0.906); fragility/support balance is strong (0.712); optionality is strong (0.701),Structural brakes: fragility pressure is moderate (0.618),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
35,42101,"Philadelphia County, Pennsylvania",PA,0.8959377700950734,0.5919137267019516,67,0.9714779602420052,0.04271974659059933,0.05405008438378595,115,0.9507346585998271,0.27025275437459495,0.47593339018978864,0.2983633005511744,0.7301785378421647,0.4318152372909902,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 27.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.476).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.785); fragility/support balance is strong (0.775); site-thesis support is strong (0.722). Brakes: wetlands constraint is moderate (0.561).,Structural support: scarcity/amenity balance is strong (0.785); fragility/support balance is strong (0.775); site-thesis support is strong (0.722),Structural brakes: wetlands constraint is moderate (0.561),"Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
