cms_provider_number,fiscal_year,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_source,acceptance_action,accepted_at,provider_name,state_abbr,city,zip5,street_address,closeout_action,census_candidate_status,census_match_type,census_matched_address,census_candidate_score,census_attempt_label,acceptance_status,acceptance_issue,production_model_rank_or_dashboard_change
320001,2024,assign_county,35001,"Bernalillo County, New Mexico",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Bernalillo County, New Mexico (35001) for provider 320001 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,UNIVERSITY OF NEW MEXICO HOSPITAL,NM,ALBUQUERQUE,87106,2211 LOMAS BLVD NE,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"2211 LOMAS BLVD NE, ALBUQUERQUE, NM, 87106",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
290041,2023,assign_county,,,,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to  () for provider 290041 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,SUMMERLIN HOSPITAL MEDICAL CENTER,NV,LAS VEGAS,89114,657 TOWN CENTER DRIVE,spot_check_same_city_candidate_before_assignment,unresolved_after_census_batch,,,,,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; not_provider_original_attempt; census_match_status_not_match; census_match_type_not_exact; census_fips_not_in_county_lookup; census_confidence_below_0_93; census_score_below_0_97; missing_census_matched_address; matched_address_missing_provider_zip5; matched_address_missing_number,False
330119,2023,assign_county,36061,"New York County, New York",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to New York County, New York (36061) for provider 330119 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,LENOX HILL HOSPITAL,NY,NEW YORK,10075,100 EAST 77TH STREET,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"100 E 77TH ST, NEW YORK, NY, 10075",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
370093,2024,assign_county,,,,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to  () for provider 370093 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,OU MEDICAL CENTER,OK,OKLAHOMA CITY,73104,1200 CHILDRENS AVE,spot_check_same_city_candidate_before_assignment,unresolved_after_census_batch,,,,,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; not_provider_original_attempt; census_match_status_not_match; census_match_type_not_exact; census_fips_not_in_county_lookup; census_confidence_below_0_93; census_score_below_0_97; missing_census_matched_address; matched_address_missing_provider_zip5; matched_address_missing_number,False
390067,2024,assign_county,42043,"Dauphin County, Pennsylvania",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Dauphin County, Pennsylvania (42043) for provider 390067 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,UPMC PINNACLE HOSPITALS,PA,HARRISBURG,17101,409 S. 2ND STREET,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"409 S 2ND ST, HARRISBURG, PA, 17101",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
450788,2024,assign_county,,,,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to  () for provider 450788 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,CORPUS CHRISTI MEDICAL CENTER,TX,CORPUS CHRISTI,78412,7101 SOUTH PADRE ISLAND DRIVE,spot_check_same_city_candidate_before_assignment,unresolved_after_census_batch,,,,,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; not_provider_original_attempt; census_match_status_not_match; census_match_type_not_exact; census_fips_not_in_county_lookup; census_confidence_below_0_93; census_score_below_0_97; missing_census_matched_address; matched_address_missing_provider_zip5; matched_address_missing_number,False
450431,2023,assign_county,48453,"Travis County, Texas",0.84,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Travis County, Texas (48453) for provider 450431 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,ST. DAVIDS MEDICAL CENTER,TX,AUSTIN,78765,919 EAST 32ND STREET,spot_check_same_city_candidate_before_assignment,same_city_census_context_only,Non_Exact,"919 E 32ND ST, AUSTIN, TX, 78705",0.8,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; census_match_type_not_exact; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
490009,2024,assign_county,51540,"Charlottesville city, Virginia",0.84,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Charlottesville city, Virginia (51540) for provider 490009 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,UNIVERSITY OF VIRGINIA MEDICAL CENTE,VA,CHARLOTTESVILLE,22908,855 WEST MAIN STREET,spot_check_same_city_candidate_before_assignment,same_city_census_conflicts_candidate,Non_Exact,"855 W MAIN ST, CHARLOTTESVILLE, VA, 22903",0.8,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; census_match_type_not_exact; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
030115,2023,assign_county,,,,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to  () for provider 030115 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,BANNER ESTRELLA MEDICAL CENTER,AZ,PHOENIX,85037,9201 WEST THOMAS ROAD,spot_check_same_city_candidate_before_assignment,unresolved_after_census_batch,,,,,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; not_provider_original_attempt; census_match_status_not_match; census_match_type_not_exact; census_fips_not_in_county_lookup; census_confidence_below_0_93; census_score_below_0_97; missing_census_matched_address; matched_address_missing_provider_zip5; matched_address_missing_number,False
190128,2023,assign_county,22033,"East Baton Rouge Parish, Louisiana",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to East Baton Rouge Parish, Louisiana (22033) for provider 190128 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,WOMANS HOSPITAL,LA,BATON ROUGE,70817,100 WOMANS WAY,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"100 WOMANS WAY, BATON ROUGE, LA, 70817",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
464001,2024,assign_county,49049,"Utah County, Utah",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Utah County, Utah (49049) for provider 464001 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,UTAH STATE HOSPITAL,UT,PROVO,84606,1300 E. CENTER STREET,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"1300 E CENTER ST, PROVO, UT, 84606",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
100131,2023,assign_county,12086,"Miami-Dade County, Florida",0.89,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Miami-Dade County, Florida (12086) for provider 100131 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,HCA FLORIDA AVENTURA HOSPITAL,FL,MIAMI,33180,2801 NE 209TH ST AT BISCAYNE BLVD,spot_check_same_city_candidate_before_assignment,same_city_census_context_only,Non_Exact,"NE 209TH ST & BISCAYNE BLVD, MIAMI, FL, 33180",0.88,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; census_match_type_not_exact; census_confidence_below_0_93; census_score_below_0_97,False
260183,2024,assign_county,29031,"Cape Girardeau County, Missouri",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Cape Girardeau County, Missouri (29031) for provider 260183 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,SAINT FRANCIS MEDICAL CENTER,MO,CAPE GIRARDEAU,63703,211 ST. FRANCIS DRIVE,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"211 ST FRANCIS DR, CAPE GIRARDEAU, MO, 63703",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
460047,2024,assign_county,49035,"Salt Lake County, Utah",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Salt Lake County, Utah (49035) for provider 460047 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,ST MARKS HOSPITAL,UT,SALT LAKE CITY,84124,1200 EAST 3900 SOUTH,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"1200 E 3900 S, SALT LAKE CITY, UT, 84124",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
420026,2024,assign_county,45079,"Richland County, South Carolina",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Richland County, South Carolina (45079) for provider 420026 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,MUSC HEALTH COLUMBIA MEDICAL CENTER,SC,COLUMBIA,29204,2435 FOREST DRIVE,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"2435 FOREST DR, COLUMBIA, SC, 29204",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
100084,2024,assign_county,12069,"Lake County, Florida",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Lake County, Florida (12069) for provider 100084 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,LEESBURG REGIONAL MEDICAL CENTER INC,FL,LEESBURG,34748,600 E DIXIE AVENUE,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"600 E DIXIE AVE, LEESBURG, FL, 34748",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
100242,2024,assign_county,12005,"Bay County, Florida",0.84,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Bay County, Florida (12005) for provider 100242 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,HCA FLORIDA GULF COAST HOSPITAL,FL,PANAMA CITY,32404,449 WEST 23RD STREET,spot_check_same_city_candidate_before_assignment,same_city_census_context_only,Non_Exact,"449 W 23RD ST, PANAMA CITY, FL, 32405",0.8,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; census_match_type_not_exact; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
050471,2023,assign_county,06037,"Los Angeles County, California",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Los Angeles County, California (06037) for provider 050471 fiscal year 2023. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,PIH HEALTH GOOD SAMARITAN HOSPITAL,CA,LOS ANGELES,90017,1225 WILSHIRE BOULEVARD,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"1225 WILSHIRE BLVD, LOS ANGELES, CA, 90017",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
170176,2024,assign_county,20091,"Johnson County, Kansas",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Johnson County, Kansas (20091) for provider 170176 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,OVERLAND PARK REGIONAL MED CTR,KS,OVERLAND PARK,66215,10500 QUIVIRA ROAD,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"10500 QUIVIRA RD, OVERLAND PARK, KS, 66215",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
230117,2024,assign_county,26077,"Kalamazoo County, Michigan",0.93,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Kalamazoo County, Michigan (26077) for provider 230117 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,ASCENSION BORGESS HOSPITAL,MI,KALAMAZOO,49048,1521 GULL ROAD,spot_check_same_city_candidate_before_assignment,same_city_census_confirms_candidate,Exact,"1521 GULL RD, KALAMAZOO, MI, 49048",0.97,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status,False
450079,2024,assign_county,,,,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to  () for provider 450079 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,BAYLOR S&W MEDICAL CENTER - IRVING,TX,IRVING,75061,1901 NORTH MACARTHUR BLVD,spot_check_same_city_candidate_before_assignment,unresolved_after_census_batch,,,,,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; not_provider_original_attempt; census_match_status_not_match; census_match_type_not_exact; census_fips_not_in_county_lookup; census_confidence_below_0_93; census_score_below_0_97; missing_census_matched_address; matched_address_missing_provider_zip5; matched_address_missing_number,False
284003,2024,assign_county,31109,"Lancaster County, Nebraska",0.84,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to Lancaster County, Nebraska (31109) for provider 284003 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,LINCOLN REGIONAL CENTER,NE,LINCOLN,68509,FOLSOM & PROSPECTOR,spot_check_same_city_candidate_before_assignment,same_city_census_context_only,Non_Exact,"S FOLSOM ST & W PROSPECTOR PL, LINCOLN, NE, 68522",0.75,provider_original,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; census_match_type_not_exact; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5; provider_street_missing_number,False
210024,2024,assign_county,,,,"Accepted report-only institutional-anchor CMS provider geocode: external provider row confirmed by exact Census geographies address match to  () for provider 210024 fiscal year 2024. Institutional source promotion remains blocked by source-maturity, leakage, and model-impact gates.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_census_candidates.csv,external_census_exact_confirmed,2026-06-04T14:02:28.324990+00:00,MEDSTAR UNION MEMORIAL HOSPITAL,MD,BALTIMORE,21218,201 EAST UNIVERSITY PARKWAY,spot_check_same_city_candidate_before_assignment,unresolved_after_census_batch,,,,,held_or_rejected,not_external_geocode_action; not_external_census_candidate_ready_status; not_provider_original_attempt; census_match_status_not_match; census_match_type_not_exact; census_fips_not_in_county_lookup; census_confidence_below_0_93; census_score_below_0_97; missing_census_matched_address; matched_address_missing_provider_zip5; matched_address_missing_number,False
