gap_closure_rank,source_pool_rank,fips,county,state_abbr,census_region,institutional_anchor_official_score,institutional_anchor_official_band,ipeds_institution_count,ipeds_enrollment_total,ipeds_medical_institution_count,cms_hospital_provider_count,cms_beds_total,cms_teaching_hospital_count,source_lane_count,primary_archetype,secondary_archetype,export_priority_rank,export_priority_score,preboom_prior_momentum_rank_pct,short_thesis,next_diligence_check
11,2168,06073,"San Diego County, California",CA,West,98.76791056526531,major,66.0,416559.0,1.0,14.0,4145.0,4.0,2.0,remote-work lifestyle market,amenity migration,2168,0.21691875540190145,0.7472456254050551,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 74.7%, inside the not-hot gate. Market-depth adequacy is moderate (0.464).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
12,316,32003,"Clark County, Nevada",NV,West,98.61832782239016,major,28.0,101342.0,3.0,13.0,1930.0,3.0,2.0,remote-work lifestyle market,amenity migration,316,0.7404926534140017,0.4345430978613091,"Low quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 43.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.466).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
13,1970,36059,"Nassau County, New York",NY,Northeast,98.45299952763344,major,21.0,81323.0,2.0,8.0,2342.0,7.0,2.0,manufacturing reshoring,amenity migration,1970,0.27990492653414006,0.6127673363577446,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 61.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.481).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
14,1189,06071,"San Bernardino County, California",CA,West,98.41757203589987,major,33.0,128616.0,2.0,8.0,1778.0,3.0,2.0,remote-work lifestyle market,amenity migration,1189,0.4772039757994815,0.46856772521062867,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 46.9%, inside the not-hot gate. Market-depth adequacy is moderate (0.469).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
15,1426,27053,"Hennepin County, Minnesota",MN,Midwest,98.37033538025507,major,21.0,247960.0,1.0,9.0,3362.0,7.0,2.0,amenity migration,retirement migration,1426,0.4183664649956785,0.2235904082955282,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 22.4%, inside the not-hot gate. Market-depth adequacy is moderate (0.477).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
16,1272,53033,"King County, Washington",WA,West,98.30341678475831,major,31.0,164503.0,1.0,12.0,2062.0,4.0,2.0,manufacturing reshoring,remote-work lifestyle market,1272,0.45630942091616256,0.3340894361633182,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 33.4%, inside the not-hot gate. Market-depth adequacy is moderate (0.466).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
17,1322,29189,"St. Louis County, Missouri",MO,Midwest,98.27586206896552,major,22.0,92658.0,1.0,12.0,3795.0,8.0,2.0,amenity migration,retirement migration,1322,0.44308556611927397,0.7103046014257939,"Low quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 71.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.484).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
18,927,06065,"Riverside County, California",CA,West,98.22468902535034,major,35.0,156165.0,1.0,10.0,1409.0,8.0,2.0,remote-work lifestyle market,amenity migration,927,0.5490708729472774,0.4468567725210629,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 44.7%, inside the not-hot gate. Market-depth adequacy is moderate (0.467).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
19,1378,49035,"Salt Lake County, Utah",UT,West,98.18926153361677,major,25.0,337284.0,1.0,12.0,1709.0,4.0,2.0,remote-work lifestyle market,amenity migration,1378,0.4299697493517718,0.254698639014906,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 25.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.477).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
20,1625,48113,"Dallas County, Texas",TX,South,98.05148795465281,major,53.0,191234.0,1.0,18.0,2330.0,2.0,2.0,amenity migration,retirement migration,1625,0.37033275713050995,0.4873622812702528,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 48.7%, inside the not-hot gate. Market-depth adequacy is moderate (0.466).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
21,1802,48029,"Bexar County, Texas",TX,South,97.95701464336325,major,45.0,189733.0,2.0,7.0,1454.0,2.0,2.0,amenity migration,retirement migration,1802,0.3263828867761452,0.22326636422553467,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 22.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.469).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
22,112,11001,"District of Columbia, District of Columbia",DC,South,97.8743504959849,major,22.0,118882.0,3.0,7.0,1263.0,3.0,2.0,remote-work lifestyle market,manufacturing reshoring,112,0.8458297320656871,0.07453013609850939,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 7.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.506).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
23,1972,12057,"Hillsborough County, Florida",FL,South,97.85466855613289,major,22.0,118604.0,1.0,7.0,3625.0,5.0,2.0,manufacturing reshoring,remote-work lifestyle market,1972,0.2797536732929991,0.6234607906675308,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 62.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.472).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
24,1914,06067,"Sacramento County, California",CA,West,97.81530467642891,major,28.0,157921.0,1.0,8.0,1483.0,4.0,2.0,remote-work lifestyle market,amenity migration,1914,0.29528954191875545,0.18502916396629943,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 18.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.474).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
25,996,04019,"Pima County, Arizona",AZ,West,97.8074319004881,major,16.0,96553.0,1.0,10.0,2472.0,5.0,2.0,remote-work lifestyle market,amenity migration,996,0.5294295592048401,0.3104342190537913,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 31.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.486).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
26,153,36047,"Kings County, New York",NY,Northeast,97.73264052905053,major,51.0,91320.0,1.0,6.0,1969.0,6.0,2.0,manufacturing reshoring,amenity migration,153,0.8235306828003457,0.16753078418664938,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 16.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.478).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
27,1848,36103,"Suffolk County, New York",NY,Northeast,97.64210360573138,major,13.0,79705.0,1.0,10.0,2837.0,7.0,2.0,amenity migration,retirement migration,1848,0.31527657735522907,0.6072585871678549,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 60.7%, inside the not-hot gate. Market-depth adequacy is moderate (0.476).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
28,1835,26125,"Oakland County, Michigan",MI,Midwest,97.46890253503386,major,24.0,54008.0,1.0,8.0,2289.0,6.0,2.0,amenity migration,retirement migration,1835,0.3178910976663786,0.5230071289695398,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 52.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.476).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
29,1542,36119,"Westchester County, New York",NY,Northeast,97.34293811998111,major,20.0,42721.0,1.0,11.0,2359.0,8.0,2.0,manufacturing reshoring,amenity migration,1542,0.3895635263612791,0.5900842514581983,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 59.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.497).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
30,556,47157,"Shelby County, Tennessee",TN,South,96.91780821917808,major,24.0,56880.0,1.0,8.0,2390.0,2.0,2.0,remote-work lifestyle market,amenity migration,556,0.6515125324114087,0.3272845106934543,"Moderate quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 32.7%, inside the not-hot gate. Market-depth adequacy is moderate (0.495).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
31,551,47037,"Davidson County, Tennessee",TN,South,96.82333490788852,major,28.0,65280.0,2.0,5.0,1230.0,2.0,2.0,remote-work lifestyle market,amenity migration,551,0.6517502160760589,0.5084251458198314,"Low quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 50.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.496).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
32,218,01073,"Jefferson County, Alabama",AL,South,96.81152574397731,major,13.0,55215.0,1.0,7.0,2494.0,4.0,2.0,amenity migration,retirement migration,218,0.7849178910976664,0.3425145819831497,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 34.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.509).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
33,1393,40109,"Oklahoma County, Oklahoma",OK,South,96.68556132892458,major,18.0,65599.0,1.0,17.0,1302.0,2.0,2.0,amenity migration,retirement migration,1393,0.4269230769230769,0.6341542449773169,"Low quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 63.4%, inside the not-hot gate. Market-depth adequacy is moderate (0.496).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
34,24,36005,"Bronx County, New York",NY,Northeast,96.59896079357581,major,13.0,75144.0,1.0,5.0,2426.0,3.0,2.0,manufacturing reshoring,amenity migration,24,0.9137640449438202,0.03240440699935191,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 3.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.523).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
35,1684,29095,"Jackson County, Missouri",MO,Midwest,96.47693276649348,major,18.0,47001.0,2.0,5.0,1088.0,3.0,2.0,amenity migration,retirement migration,1684,0.3549481417458945,0.729747245625405,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 73.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.501).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
36,299,06075,"San Francisco County, California",CA,West,96.44544166273027,major,18.0,91444.0,1.0,5.0,930.0,4.0,2.0,manufacturing reshoring,remote-work lifestyle market,299,0.7479688850475367,0.04082955281918341,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 4.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.509).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
37,294,05119,"Pulaski County, Arkansas",AR,South,96.1738308927728,major,22.0,32912.0,1.0,8.0,1313.0,3.0,2.0,amenity migration,retirement migration,294,0.7503457216940362,0.363901490602722,"Moderate quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 36.4%, inside the not-hot gate. Market-depth adequacy is moderate (0.546).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
38,1459,39061,"Hamilton County, Ohio",OH,Midwest,96.0911667453944,major,23.0,88556.0,1.0,6.0,768.0,2.0,2.0,amenity migration,retirement migration,1459,0.4105012964563527,0.7070641607258588,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 70.7%, inside the not-hot gate. Market-depth adequacy is moderate (0.493).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
39,411,41051,"Multnomah County, Oregon",OR,West,95.98488427019367,major,23.0,93560.0,1.0,4.0,1167.0,2.0,2.0,manufacturing reshoring,remote-work lifestyle market,411,0.706590319792567,0.1117952041477641,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 11.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.497).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
40,1134,13121,"Fulton County, Georgia",GA,South,95.85891985514091,major,27.0,145499.0,1.0,3.0,1699.0,2.0,2.0,manufacturing reshoring,amenity migration,1134,0.492286084701815,0.3830200907323396,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 38.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.478).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
41,35,42101,"Philadelphia County, Pennsylvania",PA,Northeast,95.78412848370336,major,33.0,150876.0,5.0,4.0,409.0,2.0,2.0,manufacturing reshoring,amenity migration,35,0.8959377700950734,0.27025275437459495,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 27.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.476).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
42,1726,31055,"Douglas County, Nebraska",NE,Midwest,95.63848212879861,major,11.0,58851.0,2.0,6.0,711.0,2.0,2.0,amenity migration,retirement migration,1726,0.34563526361279173,0.6863253402462735,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 68.6%, inside the not-hot gate. Market-depth adequacy is moderate (0.516).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
43,2181,06085,"Santa Clara County, California",CA,West,95.33144386710752,major,25.0,185318.0,1.0,3.0,828.0,2.0,2.0,manufacturing reshoring,remote-work lifestyle market,2181,0.2134399308556612,0.5738820479585224,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 57.4%, inside the not-hot gate. Market-depth adequacy is moderate (0.472).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
44,642,48453,"Travis County, Texas",TX,South,95.14249724452843,major,23.0,126904.0,1.0,8.0,734.0,1.0,2.0,amenity migration,retirement migration,642,0.6304667242869489,0.05476344782890473,"Moderate quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 5.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.476).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
45,2187,17043,"DuPage County, Illinois",IL,Midwest,95.04015115729806,major,22.0,146778.0,1.0,5.0,1027.0,1.0,2.0,amenity migration,retirement migration,2187,0.2118625756266206,0.6412832145171743,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 64.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.491).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
46,277,21111,"Jefferson County, Kentucky",KY,South,94.37490159030074,major,16.0,66509.0,1.0,4.0,1707.0,1.0,2.0,amenity migration,retirement migration,277,0.7578003457216942,0.5178224238496435,"Moderate quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 51.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.496).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
47,2012,37183,"Wake County, North Carolina",NC,South,94.35915603841914,major,17.0,84342.0,1.0,4.0,1212.0,1.0,2.0,remote-work lifestyle market,amenity migration,2012,0.2704840103716508,0.5025923525599482,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 50.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.477).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
48,1015,06019,"Fresno County, California",CA,West,94.28436466698157,major,23.0,104510.0,1.0,4.0,302.0,2.0,2.0,remote-work lifestyle market,amenity migration,1015,0.5254105445116681,0.41801685029163965,"Moderate quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 41.8%, inside the not-hot gate. Market-depth adequacy is moderate (0.494).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
49,173,32031,"Washoe County, Nevada",NV,West,93.61911509998424,major,9.0,39670.0,1.0,6.0,1369.0,1.0,2.0,remote-work lifestyle market,amenity migration,173,0.8114304235090752,0.20123136746597536,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 20.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.533).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
50,280,01097,"Mobile County, Alabama",AL,South,93.36718626987876,major,9.0,23755.0,1.0,4.0,1047.0,2.0,2.0,amenity migration,retirement migration,280,0.7564390665514261,0.4627349319507453,"Moderate quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 46.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.553).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
51,412,22017,"Caddo Parish, Louisiana",LA,South,93.3081404503228,major,12.0,20687.0,1.0,4.0,835.0,2.0,2.0,amenity migration,retirement migration,412,0.7065471045808125,0.23590408295528192,"Moderate quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 23.6%, inside the not-hot gate. Market-depth adequacy is moderate (0.622).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
52,1531,08001,"Adams County, Colorado",CO,West,93.2923948984412,major,5.0,59864.0,1.0,4.0,756.0,2.0,2.0,remote-work lifestyle market,amenity migration,1531,0.3927614520311149,0.22132209980557355,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 22.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.524).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
53,567,16001,"Ada County, Idaho",ID,West,93.15855770744766,major,11.0,35791.0,1.0,5.0,870.0,1.0,2.0,remote-work lifestyle market,amenity migration,567,0.6489196197061365,0.09688917692806222,"Moderate quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 9.7%, inside the not-hot gate. Market-depth adequacy is moderate (0.521).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
54,1549,48303,"Lubbock County, Texas",TX,South,92.84758305778617,major,7.0,53233.0,2.0,4.0,619.0,1.0,2.0,recovery/rebound market,amenity migration,1549,0.3877917026793431,0.3003888528839922,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 30.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.576).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
55,226,22071,"Orleans Parish, Louisiana",LA,South,92.70980947882224,major,16.0,64329.0,2.0,3.0,383.0,1.0,2.0,amenity migration,retirement migration,226,0.7836862575626621,0.04504212572909916,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 4.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.567).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
56,662,15003,"Honolulu County, Hawaii",HI,West,92.61927255550306,major,18.0,65980.0,1.0,3.0,506.0,1.0,2.0,remote-work lifestyle market,amenity migration,662,0.6215211754537597,0.2734931950745301,"Moderate quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 27.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.498).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
57,1798,17019,"Champaign County, Illinois",IL,Midwest,92.59171783971028,major,5.0,71687.0,1.0,3.0,650.0,2.0,2.0,recovery/rebound market,amenity migration,1798,0.3269446845289542,0.6250810110174984,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 62.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.646).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
58,848,51710,"Norfolk city, Virginia",VA,South,92.3161706817824,major,9.0,61093.0,1.0,2.0,746.0,2.0,2.0,amenity migration,retirement migration,848,0.5729040622299049,0.5430978613091381,"Low quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 54.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.607).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
59,1907,06077,"San Joaquin County, California",CA,West,91.96189576444654,major,8.0,34793.0,1.0,4.0,670.0,1.0,2.0,manufacturing reshoring,remote-work lifestyle market,1907,0.29703975799481414,0.21224886584575503,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 21.2%, inside the not-hot gate. Market-depth adequacy is moderate (0.509).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
60,1593,06095,"Solano County, California",CA,West,91.3399464651236,major,7.0,15399.0,1.0,4.0,495.0,2.0,2.0,remote-work lifestyle market,manufacturing reshoring,1593,0.3780250648228176,0.16493843162670124,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 16.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.552).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
61,659,54061,"Monongalia County, West Virginia",WV,South,91.08014485907732,major,6.0,28537.0,1.0,3.0,972.0,1.0,2.0,amenity migration,retirement migration,659,0.6232281763180639,0.305249513933895,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 30.5%, inside the not-hot gate. Market-depth adequacy is high (0.749).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
62,820,12073,"Leon County, Florida",FL,South,90.46606833569517,major,7.0,78826.0,1.0,2.0,536.0,1.0,2.0,remote-work lifestyle market,amenity migration,820,0.5800777873811582,0.4698639014906027,"Low quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 47.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.583).","Operator check: verify parcel availability, local listings, zoning/subdivision path, and whether the county-level signal is concentrated in investable submarkets."
