guarded_blend_rank,blend_rank,export_priority_rank,fips,county,state_abbr,census_region,qa_status,qa_flags,blend_score,preboom_classifier_score,classifier_rank_pct,investable_residual_model_score,residual_rank_pct,preboom_prior_momentum_rank_pct,emerging_market_depth_adequacy,wave3_net_support,overall_rank,total_population,short_thesis,structural_summary,support_narrative,brake_narrative
11,21,2,42031,"Clarion County, Pennsylvania",PA,Northeast,advance_with_notes,small_market,0.9782195332757131,0.6118032550508549,0.9770959377700951,0.07289087592496318,0.9883318928262749,0.2375243033052495,0.881085089711573,0.2171597191795655,180,36855.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 23.8%, inside the not-hot gate. Market-depth adequacy is high (0.881).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.707); fragility/support balance is moderate (0.660); optionality is moderate (0.638). Brakes: constraint pressure is moderate (0.576).,Structural support: scarcity/amenity balance is strong (0.707); fragility/support balance is moderate (0.660); optionality is moderate (0.638),Structural brakes: constraint pressure is moderate (0.576)
12,24,30,21019,"Boyd County, Kentucky",KY,South,advance_with_notes,small_market; labor_stress,0.9779170267934313,0.658006501164401,0.9848746758859118,0.028598006918078064,0.9152981849611063,0.11535968891769281,0.96083224127864,0.0240887719446271,643,47777.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 11.5%, inside the not-hot gate. Market-depth adequacy is high (0.961).",Wave 3 support is moderate; structural brakes are moderate. Supports: no major structural supports flagged. Brakes: no major structural brakes flagged.,Structural support: no major structural supports flagged,Structural brakes: no major structural brakes flagged
13,25,28,35006,"Cibola County, New Mexico",NM,West,advance_with_notes,small_market; moderate_market_depth,0.9778738115816766,0.6221271175240561,0.9801210025929127,0.046460620074039935,0.9576490924805532,0.34996759559300067,0.649216955862457,0.1704649993789556,784,26686.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 35.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.649).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.649); scarcity/amenity balance is moderate (0.647); site-thesis support is moderate (0.607). Brakes: fragility pressure is moderate (0.633).,Structural support: optionality is moderate (0.649); scarcity/amenity balance is moderate (0.647); site-thesis support is moderate (0.607),Structural brakes: fragility pressure is moderate (0.633)
14,26,7,24001,"Allegany County, Maryland",MD,South,advance_with_notes,already_high_in_live_ranking,0.9773120138288678,0.6016044434441595,0.9753673292999135,0.08274581667492621,0.9948141745894555,0.339598185353208,0.8820301887480312,0.1435444898070478,36,67097.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 34.0%, inside the not-hot gate. Market-depth adequacy is high (0.882).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.616). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.616),Structural brakes: no major structural brakes flagged
15,27,112,11001,"District of Columbia, District of Columbia",DC,South,advance_with_notes,moderate_market_depth,0.9772255834053587,0.714358003114456,0.9943820224719101,0.006464525616892525,0.8228176318063959,0.07453013609850939,0.50615503248079,0.1472035058887597,1986,702250.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 7.5%, inside the not-hot gate. Market-depth adequacy is moderate (0.506).",Wave 3 support is moderate; structural brakes are moderate. Supports: fragility/support balance is strong (0.692); scarcity/amenity balance is strong (0.682); optionality is moderate (0.666). Brakes: wetlands constraint is moderate (0.644).,Structural support: fragility/support balance is strong (0.692); scarcity/amenity balance is strong (0.682); optionality is moderate (0.666),Structural brakes: wetlands constraint is moderate (0.644)
16,29,27,05093,"Mississippi County, Arkansas",AR,South,advance_with_notes,small_market; recent_population_decline,0.9763612791702679,0.6961402727020423,0.9904926534140017,0.012182049847828669,0.8491789109766638,0.03661697990926766,0.9367631999828756,0.1506809476102385,1201,38095.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 3.7%, inside the not-hot gate. Market-depth adequacy is high (0.937).",Wave 3 support is moderate; structural brakes are moderate. Supports: fragility/support balance is strong (0.734). Brakes: wetlands constraint is moderate (0.652); constraint pressure is moderate (0.558).,Structural support: fragility/support balance is strong (0.734),Structural brakes: wetlands constraint is moderate (0.652); constraint pressure is moderate (0.558)
17,31,4,39087,"Lawrence County, Ohio",OH,Midwest,advance_with_notes,recent_population_decline,0.9745894554883319,0.5967492568782681,0.973638720829732,0.0652758443212466,0.9831460674157303,0.38107582631237846,0.9567717436245275,0.1704154739379719,275,55829.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 38.1%, inside the not-hot gate. Market-depth adequacy is high (0.957).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.680); scarcity/amenity balance is strong (0.670); site-thesis support is moderate (0.631). Brakes: constraint pressure is moderate (0.565).,Structural support: optionality is strong (0.680); scarcity/amenity balance is strong (0.670); site-thesis support is moderate (0.631),Structural brakes: constraint pressure is moderate (0.565)
18,32,51,35055,"Taos County, New Mexico",NM,West,advance_with_notes,small_market,0.9745462402765773,0.8328614841618245,0.9991356957649092,-0.006082821151530723,0.7532411408815903,0.06772521062864549,0.9055046447451496,0.1942637597881878,3054,34482.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 6.8%, inside the not-hot gate. Market-depth adequacy is high (0.906).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.677); site-thesis support is moderate (0.655); scarcity/amenity balance is moderate (0.634). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.677); site-thesis support is moderate (0.655); scarcity/amenity balance is moderate (0.634),Structural brakes: no major structural brakes flagged
19,33,11,21089,"Greenup County, Kentucky",KY,South,advance_with_notes,small_market; labor_stress; already_high_in_live_ranking,0.974114088159032,0.6070180189424511,0.975799481417459,0.046580234866292335,0.9589455488331893,0.48152948801036943,0.8605672680066107,0.1234386357191276,37,35273.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 48.2%, inside the not-hot gate. Market-depth adequacy is high (0.861).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.616); fragility/support balance is moderate (0.612). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.616); fragility/support balance is moderate (0.612),Structural brakes: no major structural brakes flagged
20,40,137,30031,"Gallatin County, Montana",MT,West,advance_with_notes,moderate_market_depth,0.9706568712186691,0.7581468472422392,0.9978392394122731,-0.011391533562112293,0.7260155574762316,0.34899546338302007,0.6895124781069184,0.1025216135673803,2393,126984.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 34.9%, inside the not-hot gate. Market-depth adequacy is moderate (0.690).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.727); site-thesis support is moderate (0.632); optionality is moderate (0.631). Brakes: constraint pressure is moderate (0.582).,Structural support: scarcity/amenity balance is strong (0.727); site-thesis support is moderate (0.632); optionality is moderate (0.631),Structural brakes: constraint pressure is moderate (0.582)
21,41,13,39013,"Belmont County, Ohio",OH,Midwest,advance,,0.9702247191011235,0.5909908151233977,0.9706136560069144,0.051864908299534086,0.966724286949006,0.28548282566429034,0.8860612888964715,0.0915763569846039,323,64692.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 28.5%, inside the not-hot gate. Market-depth adequacy is high (0.886).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.629). Brakes: constraint pressure is moderate (0.560).,Structural support: optionality is moderate (0.629),Structural brakes: constraint pressure is moderate (0.560)
22,43,35,42101,"Philadelphia County, Pennsylvania",PA,Northeast,advance_with_notes,moderate_market_depth,0.9694036300777873,0.5919137267019516,0.9714779602420052,0.04271974659059933,0.9507346585998271,0.27025275437459495,0.47593339018978864,0.2983633005511744,298,1573916.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 27.0%, inside the not-hot gate. Market-depth adequacy is moderate (0.476).",Wave 3 support is strong; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.785); fragility/support balance is strong (0.775); site-thesis support is strong (0.722). Brakes: wetlands constraint is moderate (0.561).,Structural support: scarcity/amenity balance is strong (0.785); fragility/support balance is strong (0.775); site-thesis support is strong (0.722),Structural brakes: wetlands constraint is moderate (0.561)
23,45,78,21071,"Floyd County, Kentucky",KY,South,advance_with_notes,small_market; recent_population_decline; labor_stress,0.9682800345721694,0.679201571613236,0.9887640449438202,-0.0007599528115308317,0.783923941227312,0.26830848995463386,0.8589657883309322,0.1032915192005945,1506,34532.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 26.8%, inside the not-hot gate. Market-depth adequacy is high (0.859).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.630). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.630),Structural brakes: no major structural brakes flagged
24,47,84,42007,"Beaver County, Pennsylvania",PA,Northeast,advance_with_notes,moderate_market_depth,0.9675885911840968,0.635082844892798,0.9809853068280034,0.011622111327715423,0.8470181503889369,0.39436163318211276,0.6741033149784554,0.1077106656067294,130,165540.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 39.4%, inside the not-hot gate. Market-depth adequacy is moderate (0.674).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.629); fragility/support balance is moderate (0.612). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.629); fragility/support balance is moderate (0.612),Structural brakes: no major structural brakes flagged
25,48,113,36081,"Queens County, New York",NY,Northeast,advance_with_notes,moderate_market_depth,0.9669403630077787,0.6092331616021154,0.9762316335350043,0.020402700858079197,0.8833189282627485,0.11309138042773817,0.4779765387842736,0.1004055728201973,2484,2316841.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 11.3%, inside the not-hot gate. Market-depth adequacy is moderate (0.478).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.770); site-thesis support is strong (0.724); optionality is moderate (0.646). Brakes: fragility pressure is moderate (0.645); wetlands constraint is moderate (0.609).,Structural support: scarcity/amenity balance is strong (0.770); site-thesis support is strong (0.724); optionality is moderate (0.646),Structural brakes: fragility pressure is moderate (0.645); wetlands constraint is moderate (0.609)
26,54,57,40015,"Caddo County, Oklahoma",OK,South,advance_with_notes,small_market,0.9629213483146069,0.5770647972097463,0.9671564390665515,0.032713241742289116,0.9248055315471045,0.12346079066753078,0.7101882076511765,0.0815755850488756,1047,26337.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 12.3%, inside the not-hot gate. Market-depth adequacy is high (0.710).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.670). Brakes: fragility pressure is moderate (0.580).,Structural support: optionality is strong (0.670),Structural brakes: fragility pressure is moderate (0.580)
27,55,33,29029,"Camden County, Missouri",MO,Midwest,advance_with_notes,small_market,0.9628781331028522,0.5591235245458869,0.9611063094209161,0.06176221288510609,0.9788245462402766,0.17368762151652625,0.8912146565192852,0.0066626553790813,2087,44135.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 17.4%, inside the not-hot gate. Market-depth adequacy is high (0.891).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.617). Brakes: wetlands constraint is moderate (0.616).,Structural support: optionality is moderate (0.617),Structural brakes: wetlands constraint is moderate (0.616)
28,56,12,42097,"Northumberland County, Pennsylvania",PA,Northeast,advance_with_notes,already_high_in_live_ranking,0.9614088159031979,0.550743378960796,0.9580812445980985,0.07709475999135193,0.9913569576490925,0.2427090084251458,0.8128246620345736,0.1289845661824599,50,90027.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 24.3%, inside the not-hot gate. Market-depth adequacy is high (0.813).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.694); optionality is moderate (0.657); fragility/support balance is moderate (0.626). Brakes: fragility pressure is moderate (0.557).,Structural support: scarcity/amenity balance is strong (0.694); optionality is moderate (0.657); fragility/support balance is moderate (0.626),Structural brakes: fragility pressure is moderate (0.557)
29,58,63,06033,"Lake County, California",CA,West,advance_with_notes,labor_stress,0.9606309420916161,0.590638613750321,0.9697493517718236,0.018735299659557753,0.8785652549697494,0.07841866493843162,0.8633896182144382,0.0513138782090034,1913,67764.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 7.8%, inside the not-hot gate. Market-depth adequacy is high (0.863).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.871); optionality is strong (0.671); site-thesis support is moderate (0.643). Brakes: fragility pressure is moderate (0.663); constraint complexity is moderate (0.572); wetlands constraint is moderate (0.569).,Structural support: scarcity/amenity balance is strong (0.871); optionality is strong (0.671); site-thesis support is moderate (0.643),Structural brakes: fragility pressure is moderate (0.663); constraint complexity is moderate (0.572); wetlands constraint is moderate (0.569)
30,61,204,36061,"New York County, New York",NY,Northeast,advance_with_notes,moderate_market_depth,0.9597666378565255,0.7381385144865636,0.9961106309420916,-0.02515861508668537,0.6326707000864304,0.030784186649384315,0.4931985336179595,0.2722632012231489,2886,1660664.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 3.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.493).",Wave 3 support is strong; structural brakes are moderate. Supports: fragility/support balance is strong (0.758); scarcity/amenity balance is strong (0.747); site-thesis support is strong (0.731). Brakes: wetlands constraint is moderate (0.646).,Structural support: fragility/support balance is strong (0.758); scarcity/amenity balance is strong (0.747); site-thesis support is strong (0.731),Structural brakes: wetlands constraint is moderate (0.646)
31,62,21,30081,"Ravalli County, Montana",MT,West,advance_with_notes,small_market,0.9589023336214347,0.5713337141114866,0.9658599827139153,0.02391785298022391,0.8962834917891098,0.40343486714193133,0.9769130997449975,0.1245874637050692,2099,48187.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 40.3%, inside the not-hot gate. Market-depth adequacy is high (0.977).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.682); site-thesis support is moderate (0.625); optionality is moderate (0.619). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.682); site-thesis support is moderate (0.625); optionality is moderate (0.619),Structural brakes: no major structural brakes flagged
32,64,48,30063,"Missoula County, Montana",MT,West,advance,,0.9579948141745894,0.5777949700816263,0.9675885911840968,0.017158641838551,0.8716508210890234,0.533700583279326,0.7096121814333467,0.2010702738674933,2086,122546.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 53.4%, inside the not-hot gate. Market-depth adequacy is high (0.710).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.785); optionality is strong (0.671); site-thesis support is moderate (0.650). Brakes: no major structural brakes flagged.,Structural support: scarcity/amenity balance is strong (0.785); optionality is strong (0.671); site-thesis support is moderate (0.650),Structural brakes: no major structural brakes flagged
33,73,39,26061,"Houghton County, Michigan",MI,Midwest,advance_with_notes,small_market,0.9506482281763181,0.559707250362393,0.9615384615384616,0.013209994760357953,0.8526361279170268,0.3723266364225535,0.8909107266656966,0.153890298220951,188,38041.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 37.2%, inside the not-hot gate. Market-depth adequacy is high (0.891).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.860); fragility/support balance is strong (0.730); site-thesis support is moderate (0.641). Brakes: wetlands constraint is heavy (0.719); constraint pressure is moderate (0.601).,Structural support: scarcity/amenity balance is strong (0.860); fragility/support balance is strong (0.730); site-thesis support is moderate (0.641),Structural brakes: wetlands constraint is heavy (0.719); constraint pressure is moderate (0.601)
34,77,299,06075,"San Francisco County, California",CA,West,advance_with_notes,moderate_market_depth,0.9464995678478825,0.77467836003445,0.9982713915298185,-0.046271348409362985,0.48055315471045806,0.04082955281918341,0.5093799883693083,0.2967641674547207,2659,827526.0,"High quiet-breakout probability with low residual-upside magnitude. Prior momentum rank is 4.1%, inside the not-hot gate. Market-depth adequacy is moderate (0.509).",Wave 3 support is strong; structural brakes are light. Supports: fragility/support balance is strong (0.773); scarcity/amenity balance is strong (0.716); optionality is strong (0.715). Brakes: no major structural brakes flagged.,Structural support: fragility/support balance is strong (0.773); scarcity/amenity balance is strong (0.716); optionality is strong (0.715),Structural brakes: no major structural brakes flagged
35,80,110,05069,"Jefferson County, Arkansas",AR,South,advance,,0.9444684528954191,0.55388808476351,0.9602420051858254,0.002342907721410056,0.8025064822817631,0.13285806869734285,0.9020947982527006,0.0195236766986535,595,63672.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 13.3%, inside the not-hot gate. Market-depth adequacy is high (0.902).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.680); optionality is moderate (0.608). Brakes: wetlands constraint is heavy (0.690).,Structural support: scarcity/amenity balance is strong (0.680); optionality is moderate (0.608),Structural brakes: wetlands constraint is heavy (0.690)
36,82,161,30029,"Flathead County, Montana",MT,West,advance,,0.943171996542783,0.566647524666903,0.9632670700086431,-0.004354383513642513,0.7623163353500432,0.4507453013609851,0.7203914548404793,0.0436939426086843,2508,114527.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 45.1%, inside the not-hot gate. Market-depth adequacy is high (0.720).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.851); optionality is moderate (0.652); site-thesis support is moderate (0.624). Brakes: constraint pressure is heavy (0.678); constraint complexity is moderate (0.580).,Structural support: scarcity/amenity balance is strong (0.851); optionality is moderate (0.652); site-thesis support is moderate (0.624),Structural brakes: constraint pressure is heavy (0.678); constraint complexity is moderate (0.580)
37,87,31,56033,"Sheridan County, Wyoming",WY,West,advance_with_notes,small_market,0.9414866032843561,0.5194391064301234,0.9438202247191011,0.03182790872772104,0.9204840103716508,0.42449773169151006,0.905455027643847,0.1343970678882518,1327,32978.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 42.4%, inside the not-hot gate. Market-depth adequacy is high (0.905).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.672); site-thesis support is moderate (0.624). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.672); site-thesis support is moderate (0.624),Structural brakes: no major structural brakes flagged
38,94,135,45087,"Union County, South Carolina",SC,South,advance_with_notes,small_market,0.9384615384615385,0.5443151307265083,0.9550561797752809,0.00010976169971117937,0.7891097666378565,0.12443292287751134,0.7383133908387522,0.0617088859235508,1263,26678.0,"High quiet-breakout probability with moderate residual-upside magnitude. Prior momentum rank is 12.4%, inside the not-hot gate. Market-depth adequacy is high (0.738).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is moderate (0.617); scarcity/amenity balance is moderate (0.606). Brakes: no major structural brakes flagged.,Structural support: optionality is moderate (0.617); scarcity/amenity balance is moderate (0.606),Structural brakes: no major structural brakes flagged
39,97,32,21199,"Pulaski County, Kentucky",KY,South,advance,,0.937856525496975,0.5080203613003793,0.9394987035436474,0.0324837057617271,0.9230769230769231,0.16202203499675957,0.8728688561838598,0.1580229140550229,891,66842.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 16.2%, inside the not-hot gate. Market-depth adequacy is high (0.873).",Wave 3 support is moderate; structural brakes are moderate. Supports: scarcity/amenity balance is strong (0.744); optionality is moderate (0.665); fragility/support balance is moderate (0.640). Brakes: constraint pressure is moderate (0.599).,Structural support: scarcity/amenity balance is strong (0.744); optionality is moderate (0.665); fragility/support balance is moderate (0.640),Structural brakes: constraint pressure is moderate (0.599)
40,98,17,54099,"Wayne County, West Virginia",WV,South,advance_with_notes,small_market; recent_population_decline,0.9369922212618842,0.4981843185140421,0.935609334485739,0.04194816604949601,0.949438202247191,0.45366169799092676,0.8627789812819942,0.2104214455858495,700,37589.0,"High quiet-breakout probability with high residual-upside magnitude. Prior momentum rank is 45.4%, inside the not-hot gate. Market-depth adequacy is high (0.863).",Wave 3 support is moderate; structural brakes are moderate. Supports: optionality is strong (0.696); scarcity/amenity balance is strong (0.693); fragility/support balance is moderate (0.630). Brakes: no major structural brakes flagged.,Structural support: optionality is strong (0.696); scarcity/amenity balance is strong (0.693); fragility/support balance is moderate (0.630),Structural brakes: no major structural brakes flagged
