provider_year_key,cms_provider_number,fiscal_year,provider_name,state_abbr,external_manual_lane,reviewer_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_geocode_source,manual_geocode_match_type,manual_review_note,reviewed_by,reviewed_at
450587__2024,450587,2024,HENDRICK MEDICAL CENTER BROWNWOOD,TX,external_geocoder_required_no_local_candidate,accept,48049,"Brown County, Texas",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 450587 maps to BROWN County/Parish, TX, local FIPS 48049 (Brown County, Texas); CMS HGI address `1501 BURNET DR, BROWNWOOD, TX 76801` checked against cost-report address `1501 BURNET DRIVE, BROWNWOOD, TX 76804` (state_match; city_match; cms_zip_available; street_match; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
110128__2024,110128,2024,MEADOWS REGIONAL MEDICAL CENTER,GA,external_geocoder_required_no_local_candidate,accept,13279,"Toombs County, Georgia",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 110128 maps to TOOMBS County/Parish, GA, local FIPS 13279 (Toombs County, Georgia); CMS HGI address `ONE MEADOWS PARKWAY, VIDALIA, GA 30474` checked against cost-report address `1 MEADOWS PARKWAY, VIDALIA, GA 30474` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
460013__2024,460013,2024,MOUNTAIN VIEW HOSPITAL,UT,external_geocoder_required_no_local_candidate,accept,49049,"Utah County, Utah",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 460013 maps to UTAH County/Parish, UT, local FIPS 49049 (Utah County, Utah); CMS HGI address `1000 EAST 100 NORTH, PAYSON, UT 84651` checked against cost-report address `1000 EAST 100 NORTH, PAYSON, UT 84651` (state_match; city_match; zip_match; street_match; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
190014__2023,190014,2023,OCHSNER ST. MARY,LA,external_geocoder_required_no_local_candidate,accept,22101,"St. Mary Parish, Louisiana",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 190014 maps to ST. MARY County/Parish, LA, local FIPS 22101 (St. Mary Parish, Louisiana); CMS HGI address `1125 MARGUERITE STREET, MORGAN CITY, LA 70380` checked against cost-report address `1125 MARGUERITE STREET, MORGAN CITY, LA 70308` (state_match; city_match; cms_zip_available; street_match; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
170006__2024,170006,2024,VIA CHRISTI HOSPITAL PITTSBURG  INC.,KS,external_geocoder_required_no_local_candidate,accept,20037,"Crawford County, Kansas",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 170006 maps to CRAWFORD County/Parish, KS, local FIPS 20037 (Crawford County, Kansas); CMS HGI address `1 MT CARMEL WAY, PITTSBURG, KS 66762` checked against cost-report address `1 MT CARMEL WAY, PITTSBURG, KS 66762` (state_match; city_match; zip_match; street_match; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
194114__2023,194114,2023,RIVER PLACE BEHAVIORAL HEALTH,LA,external_geocoder_required_no_local_candidate,accept,22095,"St. John the Baptist Parish, Louisiana",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 194114 maps to ST. JOHN BAPTIST County/Parish, LA, local FIPS 22095 (St. John the Baptist Parish, Louisiana); CMS HGI address `500 RUE DE SANTE, LAPLACE, LA 70068` checked against cost-report address `500 RUE DE SANTE, LAPLACE, LA 70068` (state_match; city_match; zip_match; street_match; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
241355__2023,241355,2023,GLENCOE REGIONAL HEALTH SERVICES,MN,external_geocoder_required_no_local_candidate,accept,27085,"McLeod County, Minnesota",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 241355 maps to MC LEOD County/Parish, MN, local FIPS 27085 (McLeod County, Minnesota); CMS HGI address `1805 HENNEPIN AVENUE NORTH, GLENCOE, MN 55336` checked against cost-report address `705 EAST 18TH STREEET, GLENCOE, MN 55336` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
144028__2024,144028,2024,JOHN J MADDEN MENTAL HEALTH CENTER,IL,external_geocoder_required_no_local_candidate,accept,17031,"Cook County, Illinois",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 144028 maps to COOK County/Parish, IL, local FIPS 17031 (Cook County, Illinois); CMS HGI address `1200 S FIRST AVE, HINES, IL 60141` checked against cost-report address `1200 S FIRST AVE, HINES, IL 60141` (state_match; city_match; zip_match; street_match; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
110236__2024,110236,2024,CHI MEMORIAL HOSPITAL - GEORGIA,GA,external_geocoder_required_no_local_candidate,accept,13047,"Catoosa County, Georgia",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 110236 maps to CATOOSA County/Parish, GA, local FIPS 13047 (Catoosa County, Georgia); CMS HGI address `4710 BATTLEFIELD PARKWAY, RINGGOLD, GA 30736` checked against cost-report address `101 GROSS CRESCENT CIRCLE, FT OGLETHORPE, GA 30742` (state_match; city_differs; cms_zip_available; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
370178__2024,370178,2024,ADAIR COUNTY  HEALTH CENTER,OK,external_geocoder_required_no_local_candidate,accept,40001,"Adair County, Oklahoma",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 370178 maps to ADAIR County/Parish, OK, local FIPS 40001 (Adair County, Oklahoma); CMS HGI address `1401 WEST LOCUST, STILWELL, OK 74960` checked against cost-report address `100 HIGHWAY WEST, STILWELL, OK 74960` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
511310__2024,511310,2024,SUMMERS COUNTY ARH,WV,external_geocoder_required_no_local_candidate,accept,54089,"Summers County, West Virginia",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 511310 maps to SUMMERS County/Parish, WV, local FIPS 54089 (Summers County, West Virginia); CMS HGI address `115 SUMMERS HOSPITAL ROAD, HINTON, WV 25951` checked against cost-report address `TERRACE STREET, HINTON, WV 25951` (state_match; city_match; zip_match; cms_street_available; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
670285__2023,670285,2023,KINGWOOD EMERGENCY HOSPITAL,TX,external_geocoder_required_no_local_candidate,accept,48201,"Harris County, Texas",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 670285 maps to HARRIS County/Parish, TX, local FIPS 48201 (Harris County, Texas); CMS HGI address `23330 HIGHWAY 59 N, KINGWOOD, TX 77339` checked against cost-report address `23330 HIGHWAY 59 N, KINGWOOD, TX 77339` (state_match; city_match; zip_match; street_match; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
453317__2023,453317,2023,COOK CHILDREN CARE,TX,external_geocoder_required_no_local_candidate,accept,48085,"Collin County, Texas",0.9500,official_cms_provider_data_catalog_hospital_general_information,official_facility_id_county_parish,"Accepted from official CMS Provider Data Catalog Hospital General Information dataset xubh-q36u: Facility ID 453317 maps to COLLIN County/Parish, TX, local FIPS 48085 (Collin County, Texas); CMS HGI address `4100 W UNIVERSITY DRIVE, PROSPER, TX 75078` checked against cost-report address `4100 W UNIVERSITY DR, PROSPER, TX 75078` (state_match; city_match; zip_match; street_match; cms_county_present). Report-only institutional source review; source promotion remains blocked by maturity, leakage, and model-impact gates.",codex_cms_hgi_p0_review,2026-06-05T21:01:43.827548+00:00
464007__2024,464007,2024,BENCHMARK BEHAVIORAL HEALTH SYSTEM I,UT,external_geocoder_required_no_local_candidate,hold,,,,,,Held from CMS HGI review: CMS HGI did not return a row for this Facility ID.,,
