pattern_candidate_status,pattern_candidate_priority,matched_street_query,matched_city_zip_query,evidence_snippet,suggested_parser_rule,document_text_available,parse_review_priority,parse_review_category,recommended_action,queue_row_id,entity_name,primary_ticker,filing_date,form_type,filing_accession,address_parse_status,address_parse_error,current_snapshot_business_street,current_snapshot_business_city,current_snapshot_business_state,current_snapshot_business_zip,current_snapshot_fips,current_snapshot_county_name,filing_document_cache_path,filing_document_fetch_error
pattern_candidate_city_zip_only,medium,,HUNTINGTON WEST VIRGINIA 25701,"he successful completion of a Business Combination. (3) Douglas Reynolds is the son of Marshall T. Reynolds and the brother of Jack M. Reynolds. Mr. Douglas Reynolds' address is Reynolds and Brown, PLLC, 703 5th Avenue, Huntington, West Virginia 25701. All of the shares of our common stock outstanding prior to our initial public offering have been placed in escrow with Continental Stock Transfer & Trust Company, as escrow agent. Subject",Inspect city/ZIP snippet and add conservative parser pattern if street is nearby.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0152,Energy Services of America CORP,ESOA,2006-12-18,10-K,0000943374-06-001555,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,75 WEST 3RD AVE.,HUNTINGTON,WV,25701,54011,Cabell County,data/raw/sec_edgar_hq/filing_documents/CIK0001357971/000094337406001555/form10k_dec2006.txt,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0001,"ACORN ENERGY, INC.",ACFN,2003-04-16,10-K,0001144204-03-001800,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"1000 N WEST STREET, SUITE 1200",WILMINGTON,DE,19801,10003,New Castle County,data/raw/sec_edgar_hq/filing_documents/CIK0000880984/000114420403001800/doc1.txt,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0002,"ACORN ENERGY, INC.",ACFN,2003-05-07,10-K/A,0001144204-03-002170,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"1000 N WEST STREET, SUITE 1200",WILMINGTON,DE,19801,10003,New Castle County,data/raw/sec_edgar_hq/filing_documents/CIK0000880984/000114420403002170/doc1.txt,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0493,AIR Global PLC,AIIR,2026-04-22,424B3,0001193125-26-170549,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"FESTIVAL OFFICE TWR, DUBAI FESTIVAL CITY 7TH FLOOR, OFFICE NO. 700",DUBAI (DIFC),,00000,,,data/raw/sec_edgar_hq/filing_documents/CIK0002097725/000119312526170549/project_genesis_-_final_.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0494,AIR Global PLC,AIIR,2026-05-12,424B3,0001193125-26-217201,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"FESTIVAL OFFICE TWR, DUBAI FESTIVAL CITY 7TH FLOOR, OFFICE NO. 700",DUBAI (DIFC),,00000,,,data/raw/sec_edgar_hq/filing_documents/CIK0002097725/000119312526217201/project_genesis_424b3_11.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0411,AIR Global PLC,AIIR,2026-05-21,20-F,0001193125-26-234374,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"FESTIVAL OFFICE TWR, DUBAI FESTIVAL CITY 7TH FLOOR, OFFICE NO. 700",DUBAI (DIFC),,00000,,,data/raw/sec_edgar_hq/filing_documents/CIK0002097725/000119312526234374/genesis_-_super_20-f_fil.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0210,AIR T INC,AIRT,2004-11-04,10-Q,0000353184-04-000036,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,11020 DAVID TAYLOR DRIVE SUITE 305,CHARLOTTE,NC,28262,37119,Mecklenburg County,data/raw/sec_edgar_hq/filing_documents/CIK0000353184/000035318404000036/sep.txt,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0216,ALPHA & OMEGA SEMICONDUCTOR Ltd,AOSL,2026-05-06,10-Q,0001628280-26-031360,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,475 OAKMEAD PARKWAY,SUNNYVALE,CA,94085,06085,Santa Clara County,data/raw/sec_edgar_hq/filing_documents/CIK0001387467/000162828026031360/aosl-20260331.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0217,ALPHA & OMEGA SEMICONDUCTOR Ltd,AOSL,2026-05-12,8-K,0001628280-26-034090,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,475 OAKMEAD PARKWAY,SUNNYVALE,CA,94085,06085,Santa Clara County,data/raw/sec_edgar_hq/filing_documents/CIK0001387467/000162828026034090/aosl-20260511.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0412,ANFIELD ENERGY INC.,AEC,2026-03-31,40-F,0001493152-26-014375,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,4390 GRANGE STREET #2005,BURNABY,,V5H 1P6,,,data/raw/sec_edgar_hq/filing_documents/CIK0001519469/000149315226014375/form40-f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0028,"Air Products & Chemicals, Inc.",APD,2016-11-21,10-K,0001193125-16-773346,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,1940 AIR PRODUCTS BLVD.,ALLENTOWN,PA,18106-5500,42077,Lehigh County,data/raw/sec_edgar_hq/filing_documents/CIK0000002969/000119312516773346/d271291d10k.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0422,BAYTEX ENERGY CORP.,BTE,2006-03-31,40-F,0001104659-06-021388,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"2800, 520 3RD AVE SW",CALGARY,,T2P 0R3,,,data/raw/sec_edgar_hq/filing_documents/CIK0001279495/000110465906021388/a06-7766_140f.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0423,BAYTEX ENERGY CORP.,BTE,2007-01-29,40-F,0001279495-07-000006,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"2800, 520 3RD AVE SW",CALGARY,,T2P 0R3,,,data/raw/sec_edgar_hq/filing_documents/CIK0001279495/000127949507000006/form40f_aletter.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0424,BAYTEX ENERGY CORP.,BTE,2007-02-12,40-F/A,0001104659-07-009720,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"2800, 520 3RD AVE SW",CALGARY,,T2P 0R3,,,data/raw/sec_edgar_hq/filing_documents/CIK0001279495/000110465907009720/a07-3890_140fa.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0425,BAYTEX ENERGY CORP.,BTE,2026-03-05,40-F,0001279495-26-000007,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"2800, 520 3RD AVE SW",CALGARY,,T2P 0R3,,,data/raw/sec_edgar_hq/filing_documents/CIK0001279495/000127949526000007/bte-20251231.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0426,BBB FOODS INC,TBBB,2024-04-30,20-F,0000950170-24-050527,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"AV. PDTE. MASARYK 8, POLANCO V SECC, MIGUEL HIDALGO",MEXICO CITY,O5,11560,,,data/raw/sec_edgar_hq/filing_documents/CIK0001978954/000095017024050527/tbbb-20231231.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0427,BBB FOODS INC,TBBB,2025-04-29,20-F,0000950170-25-060187,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"AV. PDTE. MASARYK 8, POLANCO V SECC, MIGUEL HIDALGO",MEXICO CITY,O5,11560,,,data/raw/sec_edgar_hq/filing_documents/CIK0001978954/000095017025060187/tbbb-20241231.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0428,BBB FOODS INC,TBBB,2026-04-02,20-F,0001193125-26-140232,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"AV. PDTE. MASARYK 8, POLANCO V SECC, MIGUEL HIDALGO",MEXICO CITY,O5,11560,,,data/raw/sec_edgar_hq/filing_documents/CIK0001978954/000119312526140232/tbbb-20251231.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0429,BBB FOODS INC,TBBB,2026-05-22,20-F/A,0001193125-26-235225,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"AV. PDTE. MASARYK 8, POLANCO V SECC, MIGUEL HIDALGO",MEXICO CITY,O5,11560,,,data/raw/sec_edgar_hq/filing_documents/CIK0001978954/000119312526235225/tbbb-20251231.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0241,BRB Foods Inc.,BRBF,2024-01-17,S-1,0001213900-24-004208,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,8 THE GREEN STE #3,DOVER,DE,19901,10001,Kent County,data/raw/sec_edgar_hq/filing_documents/CIK0001976870/000121390024004208/fs12023_brbfoodsinc.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0242,BRB Foods Inc.,BRBF,2024-06-03,S-1/A,0001213900-24-049144,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,8 THE GREEN STE #3,DOVER,DE,19901,10001,Kent County,data/raw/sec_edgar_hq/filing_documents/CIK0001976870/000121390024049144/ea0206746-01.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0240,BRB Foods Inc.,BRBF,2025-12-12,10-Q,0001213900-25-120878,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,8 THE GREEN STE #3,DOVER,DE,19901,10001,Kent County,data/raw/sec_edgar_hq/filing_documents/CIK0001976870/000121390025120878/ea0268970-10q_brbfoods.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0043,BRB Foods Inc.,BRBF,2026-04-15,10-K,0001477932-26-002290,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,8 THE GREEN STE #3,DOVER,DE,19901,10001,Kent County,data/raw/sec_edgar_hq/filing_documents/CIK0001976870/000147793226002290/brbfoods_10k.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0045,BRIDGFORD FOODS CORP,BRID,2026-01-28,10-K,0001493152-26-004079,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,1308 N PATT ST P O BOX 3773,ANAHEIM,CA,92801,06059,Orange County,data/raw/sec_edgar_hq/filing_documents/CIK0000014177/000149315226004079/form10-k.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0244,BRIDGFORD FOODS CORP,BRID,2026-03-06,10-Q,0001493152-26-009188,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,1308 N PATT ST P O BOX 3773,ANAHEIM,CA,92801,06059,Orange County,data/raw/sec_edgar_hq/filing_documents/CIK0000014177/000149315226009188/form10-q.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0245,Barrel Energy Inc.,BRLL,2015-08-12,10-Q,0001477932-15-005008,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,3859 S VALLEY VIEW BLVD SUITE 2 #107,LAS VEGAS,NV,,32003,Clark County,data/raw/sec_edgar_hq/filing_documents/CIK0001631463/000147793215005008/barrel_10q.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0050,Barrel Energy Inc.,BRLL,2015-12-29,10-K,0001477932-15-007800,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,3859 S VALLEY VIEW BLVD SUITE 2 #107,LAS VEGAS,NV,,32003,Clark County,data/raw/sec_edgar_hq/filing_documents/CIK0001631463/000147793215007800/barrel_10k.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0247,"Beyond Air, Inc.",XAIR,2016-02-23,10-Q,0001078782-16-002362,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,900 STEWART AVENUE SUITE 301,GARDEN CITY,NY,11530,36059,Nassau County,data/raw/sec_edgar_hq/filing_documents/CIK0001641631/000107878216002362/f10q123115_10q.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0052,"Beyond Air, Inc.",XAIR,2016-10-13,10-K,0001078782-16-003604,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,900 STEWART AVENUE SUITE 301,GARDEN CITY,NY,11530,36059,Nassau County,data/raw/sec_edgar_hq/filing_documents/CIK0001641631/000107878216003604/f10k063016_10k.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0505,Big Tree Cloud Holdings Ltd,DSY,2024-04-04,424B3,0001213900-24-030415,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"MATIAN STREET, ZHONGLIANG YUNJING PLAZA ROOM 3303, BUILDING 1",SHENZHEN,F4,518083,,,data/raw/sec_edgar_hq/filing_documents/CIK0001999297/000121390024030415/ea0200189-08.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,city_zip_found_street_pattern_unclear,inspect nearby text and add conservative parser pattern,sec_pit_0430,Big Tree Cloud Holdings Ltd,DSY,2024-06-12,20-F,0001213900-24-052153,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"MATIAN STREET, ZHONGLIANG YUNJING PLAZA ROOM 3303, BUILDING 1",SHENZHEN,F4,518083,,,data/raw/sec_edgar_hq/filing_documents/CIK0001999297/000121390024052153/ea0207679-20f_bigtree.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0431,Big Tree Cloud Holdings Ltd,DSY,2024-10-25,20-F,0001213900-24-090783,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"MATIAN STREET, ZHONGLIANG YUNJING PLAZA ROOM 3303, BUILDING 1",SHENZHEN,F4,518083,,,data/raw/sec_edgar_hq/filing_documents/CIK0001999297/000121390024090783/ea0218236-20f_bigtree.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0432,Big Tree Cloud Holdings Ltd,DSY,2025-10-30,20-F,0001213900-25-104178,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,"MATIAN STREET, ZHONGLIANG YUNJING PLAZA ROOM 3303, BUILDING 1",SHENZHEN,F4,518083,,,data/raw/sec_edgar_hq/filing_documents/CIK0001999297/000121390025104178/ea0262407-20f_bigtree.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0251,Bimergen Energy Corp,BESS,2008-05-20,10-Q,0001144204-08-031049,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,895 DOVE STREET SUITE 300,NEWPORT BEACH,CA,92660,06059,Orange County,data/raw/sec_edgar_hq/filing_documents/CIK0001066764/000114420408031049/v115326_10q.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0254,BlackRock Energy & Resources Trust,BGR,2008-10-07,8-K,0001341004-08-002508,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,10003,New Castle County,data/raw/sec_edgar_hq/filing_documents/CIK0001306550/000134100408002508/form_8k.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0256,BlackRock Energy & Resources Trust,BGR,2025-01-21,8-K,0001193125-25-009158,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,100 BELLEVUE PARKWAY,WILMINGTON,DE,19809,10003,New Castle County,data/raw/sec_edgar_hq/filing_documents/CIK0001306550/000119312525009158/d923212d8k.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0506,Borealis Foods Inc.,BRLS,2021-11-15,10-Q,0001213900-21-059540,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,1540 CORNWALL RD. #104,OAKVILLE,A6,L6J 7W5,,,data/raw/sec_edgar_hq/filing_documents/CIK0001852973/000121390021059540/f10q0921_oxusacq.htm,
manual_review_needed_no_local_snippet,low,,,,Manual parse review or alternate filing document selection required.,True,medium,address_marker_or_address_text_not_found,manual parse or choose alternate filing document,sec_pit_0433,Borealis Foods Inc.,BRLS,2022-03-31,10-K,0001213900-22-016349,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,1540 CORNWALL RD. #104,OAKVILLE,A6,L6J 7W5,,,data/raw/sec_edgar_hq/filing_documents/CIK0001852973/000121390022016349/f10k2021_oxusacq.htm,
