cms_provider_number,fiscal_year,manual_review_decision,manual_fips,manual_county_name,manual_geocode_confidence,manual_review_note,acceptance_source,acceptance_action,accepted_at,provider_name,state_abbr,city,zip5,street_address,suggested_fips,suggested_county_name,census_candidate_status,census_match_type,census_matched_address,census_candidate_score,same_city_review_action,acceptance_status,acceptance_issue,production_model_rank_or_dashboard_change
284003,2024,assign_county,31109,"Lancaster County, Nebraska",0.84,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 31109 was contradicted by exact Census geographies address match to Lancaster County, Nebraska (31109) for provider 284003 fiscal year 2024. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,LINCOLN REGIONAL CENTER,NE,LINCOLN,68509,FOLSOM & PROSPECTOR,31109,"Lancaster County, Nebraska",same_city_census_context_only,Non_Exact,"S FOLSOM ST & W PROSPECTOR PL, LINCOLN, NE, 68522",0.75,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5; provider_street_missing_number,False
130018,2023,assign_county,16019,"Bonneville County, Idaho",0.84,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 16019 was contradicted by exact Census geographies address match to Bonneville County, Idaho (16019) for provider 130018 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,EASTERN IDAHO REGIONAL MEDICAL CENTE,ID,IDAHO FALLS,83403,3100 CHANNING WAY,16019,"Bonneville County, Idaho",same_city_census_context_only,Non_Exact,"3100 CHANNING WAY, IDAHO FALLS, ID, 83404",0.8,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
670082,2024,assign_county,48085,"Collin County, Texas",0.84,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 48085 was contradicted by exact Census geographies address match to Collin County, Texas (48085) for provider 670082 fiscal year 2024. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,BAYLOR S&W MEDICAL CENTER - MCKINNEY,TX,MCKINNEY,75021,5252 W UNIVERSITY DR,48085,"Collin County, Texas",same_city_census_context_only,Non_Exact,"5252 W UNIVERSITY DR, MCKINNEY, TX, 75071",0.8,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
310016,2023,assign_county,34017,"Hudson County, New Jersey",0.89,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 34017 was contradicted by exact Census geographies address match to Hudson County, New Jersey (34017) for provider 310016 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,CHRIST HOSPITAL,NJ,JERSEY CITY,07306,176 PALISADES AVENUE,34017,"Hudson County, New Jersey",same_city_census_context_only,Non_Exact,"176 PALISADE AVE, JERSEY CITY, NJ, 07306",0.88,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97,False
334012,2024,assign_county,36007,"Broome County, New York",0.84,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 36007 was contradicted by exact Census geographies address match to Broome County, New York (36007) for provider 334012 fiscal year 2024. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,GREATER BINGHAMTON H.C.,NY,BINGHAMTON,13901,425 ROBINSON ST,36007,"Broome County, New York",same_city_census_context_only,Non_Exact,"425 ROBINSON ST, BINGHAMTON, NY, 13904",0.8,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
294011,2023,assign_county,32003,"Clark County, Nevada",0.89,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 32003 was contradicted by exact Census geographies address match to Clark County, Nevada (32003) for provider 294011 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,SPRING MOUNTAIN TREATMENT CENTER,NV,LAS VEGAS,89117,7000 WEST SPRING MOUNTAIN ROAD,32003,"Clark County, Nevada",same_city_census_context_only,Non_Exact,"7000 SPRING MOUNTAIN RD, LAS VEGAS, NV, 89117",0.88,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97,False
050747,2023,assign_county,06059,"Orange County, California",0.84,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 06059 was contradicted by exact Census geographies address match to Orange County, California (06059) for provider 050747 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,SOUTH COAST GLOBAL MEDICAL CENTER,CA,SANTA ANA,82701,2710 SOUTH BRISTOL STREET,06059,"Orange County, California",same_city_census_context_only,Non_Exact,"2710 S BRISTOL ST, SANTA ANA, CA, 92704",0.8,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
444030,2023,assign_county,47037,"Davidson County, Tennessee",0.89,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 47037 was contradicted by exact Census geographies address match to Davidson County, Tennessee (47037) for provider 444030 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,ST THOMAS ASCENSION,TN,NASHVILLE,37205,4220 HARDING ROAD,47037,"Davidson County, Tennessee",same_city_census_context_only,Non_Exact,"4220 HARDING PIKE, NASHVILLE, TN, 37205",0.88,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97,False
454064,2023,assign_county,48451,"Tom Green County, Texas",0.84,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 48451 was contradicted by exact Census geographies address match to Tom Green County, Texas (48451) for provider 454064 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,RIVER CREST HOSPITAL,TX,SAN ANGELO,76907,1636 HUNTERS GLEN RD,48451,"Tom Green County, Texas",same_city_census_context_only,Non_Exact,"1636 HUNTERS GLEN RD, SAN ANGELO, TX, 76901",0.8,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
194044,2023,assign_county,22055,"Lafayette Parish, Louisiana",0.89,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 22055 was contradicted by exact Census geographies address match to Lafayette Parish, Louisiana (22055) for provider 194044 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,ACADIA VERMILION HOSPITAL,LA,LAFAYETTE,70507,2520 UNIVERSITY AVENUE,22055,"Lafayette Parish, Louisiana",same_city_census_context_only,Non_Exact,"2520 N UNIVERSITY AVE, LAFAYETTE, LA, 70507",0.88,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97,False
050708,2023,assign_county,06019,"Fresno County, California",0.84,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 06019 was contradicted by exact Census geographies address match to Fresno County, California (06019) for provider 050708 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,FRESNO SURGICAL HOSPITAL,CA,FRESNO,96710,6125 NORTH FRESNO STREET,06019,"Fresno County, California",same_city_census_context_only,Non_Exact,"6125 N FRESNO ST, FRESNO, CA, 93710",0.8,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
393036,2024,assign_county,42079,"Luzerne County, Pennsylvania",0.84,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 42079 was contradicted by exact Census geographies address match to Luzerne County, Pennsylvania (42079) for provider 393036 fiscal year 2024. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,JOHN HEINZ INSTIT. OF REHAB MEDICINE,PA,WILKES-BARRE,18436,150 MUNDY ST,42079,"Luzerne County, Pennsylvania",same_city_census_context_only,Non_Exact,"150 MUNDY ST, WILKES BARRE, PA, 18702",0.8,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
234042,2023,assign_county,26099,"Macomb County, Michigan",0.89,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 26099 was contradicted by exact Census geographies address match to Macomb County, Michigan (26099) for provider 234042 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,BEHAVIORAL CENTER OF MICHIGAN,MI,WARREN,48092,4050 EAST 12 MILE RD,26099,"Macomb County, Michigan",same_city_census_context_only,Non_Exact,"4050 12 MILE RD, WARREN, MI, 48092",0.88,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97,False
190116,2024,assign_county,22067,"Morehouse Parish, Louisiana",0.84,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 22067 was contradicted by exact Census geographies address match to Morehouse Parish, Louisiana (22067) for provider 190116 fiscal year 2024. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,MOREHOUSE GENERAL HOSPITAL,LA,BASTROP,71121,323 W. WALNUT STREET,22067,"Morehouse Parish, Louisiana",same_city_census_context_only,Non_Exact,"323 W WALNUT AVE, BASTROP, LA, 71220",0.8,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
670136,2023,assign_county,48453,"Travis County, Texas",0.89,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 48453 was contradicted by exact Census geographies address match to Travis County, Texas (48453) for provider 670136 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,BSW MEDICAL CENTER - AUSTIN,TX,AUSTIN,78735,5245 W US 290,48453,"Travis County, Texas",same_city_census_context_only,Non_Exact,"5245 W US HWY 290 SVC RD, AUSTIN, TX, 78735",0.88,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97,False
370225,2023,assign_county,40109,"Oklahoma County, Oklahoma",0.89,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 40109 was contradicted by exact Census geographies address match to Oklahoma County, Oklahoma (40109) for provider 370225 fiscal year 2023. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,SUMMIT MEDICAL CENTER,OK,EDMOND,73013,1800 S. RENAISSANCE BLVD,40109,"Oklahoma County, Oklahoma",same_city_census_context_only,Non_Exact,"1800 RENNAISSANCE BLVD, EDMOND, OK, 73013",0.88,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97,False
053308,2024,assign_county,06059,"Orange County, California",0.89,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 06059 was contradicted by exact Census geographies address match to Orange County, California (06059) for provider 053308 fiscal year 2024. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,HEALTHBRIDGE CHILDRENS ACUTE,CA,ORANGE,92866,393 EAST TUSTIN STREET,06059,"Orange County, California",same_city_census_context_only,Non_Exact,"393 S TUSTIN ST, ORANGE, CA, 92866",0.88,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97,False
054083,2024,assign_county,06037,"Los Angeles County, California",0.89,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 06037 was contradicted by exact Census geographies address match to Los Angeles County, California (06037) for provider 054083 fiscal year 2024. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,KEDREN COMMUNITY MENTAL HEALTH,CA,LOS ANGELES,90011,4211 SOUTH AVALON BLVD,06037,"Los Angeles County, California",same_city_census_context_only,Non_Exact,"4211 AVALON BLVD, LOS ANGELES, CA, 90011",0.88,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97,False
443303,2024,assign_county,47093,"Knox County, Tennessee",0.84,"Accepted report-only institutional-anchor CMS provider geocode correction: same-city heuristic candidate 47093 was contradicted by exact Census geographies address match to Knox County, Tennessee (47093) for provider 443303 fiscal year 2024. Non-exact conflicts and context-only rows remain under review; no production promotion.",/Users/coryseidel/PersonalProjects/IdeaTests/LandInvest/output/institutional_anchor_provider_geocode_same_city_review_packet.csv,same_city_census_exact_conflict_corrected,2026-06-04T14:47:57.816504+00:00,EAST TENNESSEE CHILDRENS HOSPITAL,TN,KNOXVILLE,37901,2018 CLINCH AVENUE,47093,"Knox County, Tennessee",same_city_census_context_only,Non_Exact,"2018 CLINCH AVE, KNOXVILLE, TN, 37916",0.8,operator_spot_check_census_context_same_fips,held_or_rejected,not_strict_conflict_correction_candidate; not_same_city_census_conflict_status; census_match_type_not_exact; census_fips_does_not_correct_suggested_fips; census_confidence_below_0_93; census_score_below_0_97; matched_address_missing_provider_zip5,False
