external_manual_rank,packet_rank,cms_provider_number,provider_name,state_abbr,street_address,city,zip5,raw_county,fiscal_year,review_issue,review_priority,suggested_fips,suggested_county_name,supporting_matched_provider_rows,candidate_method,candidate_confidence,review_recommendation,source_operator_review_status,beds_total,discharges_total,total_costs_usd,net_patient_revenue_usd,closeout_action,closeout_note,provider_volume_score,provider_year_key,same_city_review_action,same_city_review_note,census_candidate_fips,census_candidate_county_name,census_match_status,census_match_type,census_matched_address,census_candidate_score,census_candidate_confidence,census_attempt_label,conflicting_census_candidate_fips,census_candidate_status,census_candidate_note,external_manual_lane,recommended_resolution_method,external_manual_note,geocoder_query,retry_candidate_fips,retry_candidate_county_name,retry_match_status,retry_match_type,retry_matched_address,retry_candidate_score,retry_candidate_confidence,retry_attempt_label,retry_conflicting_candidate_fips,retry_candidate_status,retry_candidate_note,production_model_rank_or_dashboard_change
11,11,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,OK,3401 W GORE,LAWTON,73502,,2024,cms_county_blank,high,40031,"Comanche County, Oklahoma",3,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,183.0,10649.0,224314285.0,339847745.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.5822,370056__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"3401 W GORE, LAWTON, OK, 73502",40031,"Comanche County, Oklahoma",Match,Non_Exact,"3401 W GORE BLVD, LAWTON, OK, 73505",0.75,0.76,street_token_expanded,,residual_census_context_only,Residual Census retry produced context but not enough evidence for automatic acceptance.,False
12,12,210034,MEDSTAR HARBOR HOSPITAL,MD,3001 SOUTH HANOVER STREET,BALTIMORE,21225,,2024,cms_county_blank,high,24005,"Baltimore County, Maryland",12,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,125.0,6846.0,162726994.0,189926055.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.3845,210034__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"3001 SOUTH HANOVER STREET, BALTIMORE, MD, 21225",24510,"Baltimore city, Maryland",Match,Exact,"3001 S HANOVER ST, BALTIMORE, MD, 21225",0.99,0.95,provider_original,,same_city_residual_census_exact_conflict_correction,Residual Census retry exact match corrects the same-city heuristic county.,False
13,13,190204,OCHSNER MEDICAL CENTER -NORTHSHORE,LA,100 MEDICAL CENTER DRIVE,SLIDELL,70461,,2023,cms_county_blank,high,22103,"St. Tammany Parish, Louisiana",3,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,150.0,503.0,26069642.0,26318145.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.3589,190204__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"100 MEDICAL CENTER DRIVE, SLIDELL, LA, 70461",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
14,14,190054,IBERIA MEDICAL CENTER,LA,2315 W MAIN STREET,NEW IBERIA,70562,,2023,cms_county_blank,high,22045,"Iberia Parish, Louisiana",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,133.0,3965.0,90825525.0,106319014.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.3182,190054__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"2315 W MAIN STREET, NEW IBERIA, LA, 70562",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
15,15,474001,BRATTLEBORO RETREAT,VT,ANNA MARSH LANE,BRATTLEBORO,05302,,2023,cms_county_blank,high,50025,"Windham County, Vermont",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,113.0,1759.0,72243402.0,96398345.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.2703,474001__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"ANNA MARSH LANE, BRATTLEBORO, VT, 05302",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
16,16,514009,MILDRED MITCHELL-BATEMAN HOSPITAL,WV,1530 NORWAY AVENUE,HUNTINGTON,25706,,2024,cms_county_blank,high,54011,"Cabell County, West Virginia",6,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,110.0,409.0,51287750.0,16735784.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.2632,514009__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1530 NORWAY AVENUE, HUNTINGTON, WV, 25706",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
17,17,054089,JEWISH HOME FOR THE AGED,CA,302 SILVER AVENUE,SAN FRANCISCO,94112,,2024,cms_county_blank,high,06075,"San Francisco County, California",12,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,13.0,175.0,101512847.0,94729336.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.2399,054089__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"302 SILVER AVENUE, SAN FRANCISCO, CA, 94112",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
18,18,670112,CUMBERLAND SURGICAL HOSPITAL,TX,5330 NORTH LOOP 1604 WEST,SAN ANTONIO,78249,,2024,cms_county_blank,high,48029,"Bexar County, Texas",21,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,25.0,643.0,71774555.0,61789647.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1696,670112__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"5330 NORTH LOOP 1604 WEST, SAN ANTONIO, TX, 78249",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
19,19,343025,CAREPARTNERS REHAB HOSPITAL,NC,68 SWEETEN CREEK ROAD,ASHEVILLE,28803,,2023,cms_county_blank,high,37021,"Buncombe County, North Carolina",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,70.0,1539.0,28994498.0,98755653.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1692,343025__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"68 SWEETEN CREEK ROAD, ASHEVILLE, NC, 28803",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
20,20,212002,WESTERN MARYLAND HOSPITAL CENTER,MD,1500 PENNSYLVANIA AVENUE,HAGERSTOWN,21740,,2024,cms_county_blank,high,24043,"Washington County, Maryland",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,60.0,14.0,23465963.0,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1435,212002__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1500 PENNSYLVANIA AVENUE, HAGERSTOWN, MD, 21740",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
21,21,190044,ACADIA GENERAL HOSPITAL,LA,190044,CROWLEY,70526,,2023,cms_county_blank,high,22001,"Acadia Parish, Louisiana",1,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,54.0,1564.0,50363732.0,53325390.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1292,190044__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"190044, CROWLEY, LA, 70526",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
22,22,103052,ENCOMPASS HEALTH REHABILITATION HOSP,FL,11595 BURNT MILL ROAD,JACKSONVILLE,32256,,2023,cms_county_blank,high,12031,"Duval County, Florida",10,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,50.0,798.0,17626662.0,16719427.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1196,103052__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"11595 BURNT MILL ROAD, JACKSONVILLE, FL, 32256",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
23,23,670265,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,TX,1401 EAST TRINITY MILLS ROAD,CARROLLTON,75007,,2024,cms_county_blank,high,48121,"Denton County, Texas",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,22.0,629.0,45132104.0,36285783.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.1066,670265__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1401 EAST TRINITY MILLS ROAD, CARROLLTON, TX, 75007",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
24,24,054149,WILLOW ROCK CENTER,CA,22050 FAIRMONT DRIVE,SAN LEANDRO,94578,,2024,cms_county_blank,high,06001,"Alameda County, California",2,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,054149__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"22050 FAIRMONT DRIVE, SAN LEANDRO, CA, 94578",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
25,25,213300,MT WASHINGTON PEDIATRICS,MD,1708 WEST ROGERS AVENUE,BALTIMORE,21209,,2024,cms_county_blank,high,24005,"Baltimore County, Maryland",12,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,,,,,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.0,213300__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"1708 WEST ROGERS AVENUE, BALTIMORE, MD, 21209",24510,"Baltimore city, Maryland",Match,Exact,"1708 W ROGERS AVE, BALTIMORE, MD, 21209",0.99,0.95,provider_original,,same_city_residual_census_exact_conflict_correction,Residual Census retry exact match corrects the same-city heuristic county.,False
26,26,400016,AUXILIO MUTUO HOSPITAL,PR,PONCE DE LEON,SAN JUAN,00919,,2023,cms_county_blank,medium,72127,San Juan Muno,5,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,488.0,17410.0,222107178.0,246596454.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,1.0,400016__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"PONCE DE LEON, SAN JUAN, PR, 00919",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
27,27,400044,SAN LUCAS PONCE,PR,917 AVE TITO CASTRO,PONCE,00733,,2023,cms_county_blank,medium,72113,Ponce Muno,4,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,cms_county_missing_provider_geocode_review_required,336.0,15880.0,128796764.0,152402856.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.8038,400044__2023,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"917 AVE TITO CASTRO, PONCE, PR, 00733",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
28,28,400061,UNIVERSITY DISCTRICT HOSPITAL,PR,BO. MONACILLO,SAN JUAN,00922,PUERTO RICO,2024,county_text_unmatched,medium,72127,San Juan Muno,5,same_state_city_unique_matched_cms_rows,0.76,operator_review_city_match_before_assigning,county_fips_unmatched_review_required,204.0,7413.0,129171912.0,108313813.0,spot_check_same_city_candidate_before_assignment,Same state+city maps to one already matched CMS county; review address/ZIP before applying.,0.488,400061__2024,external_or_manual_geocode_required,No usable Census county context; route through approved provider geocoder or manual address review.,,,,,,,,,,unresolved_after_census_batch,No Census geographies address match for provider street/city/state/ZIP.,same_city_unresolved_after_census_external_geocoder,approved_external_provider_geocoder,Same-city heuristic survived local review but official Census evidence did not support a conservative assignment.,"BO. MONACILLO, SAN JUAN, PR, 00922",,,,,,,,,,unresolved_after_residual_census_retry,No Census geographies match from residual retry variants.,False
